DateKey,FullDate,DayNum,MonthNum,MonthName,YearNum,QuarterNum,DayOfWeekNum,DayName
20210522,5/22/2021,22,5,May,2021,2,7,Saturday
20210523,5/23/2021,23,5,May,2021,2,1,Sunday
20210524,5/24/2021,24,5,May,2021,2,2,Monday
20210525,5/25/2021,25,5,May,2021,2,3,Tuesday
20210526,5/26/2021,26,5,May,2021,2,4,Wednesday
20210527,5/27/2021,27,5,May,2021,2,5,Thursday
20210528,5/28/2021,28,5,May,2021,2,6,Friday
20210529,5/29/2021,29,5,May,2021,2,7,Saturday
20210530,5/30/2021,30,5,May,2021,2,1,Sunday
20210531,5/31/2021,31,5,May,2021,2,2,Monday
20210601,6/1/2021,1,6,June,2021,2,3,Tuesday
20210602,6/2/2021,2,6,June,2021,2,4,Wednesday
20210603,6/3/2021,3,6,June,2021,2,5,Thursday
20210604,6/4/2021,4,6,June,2021,2,6,Friday
20210605,6/5/2021,5,6,June,2021,2,7,Saturday
20210606,6/6/2021,6,6,June,2021,2,1,Sunday
20210607,6/7/2021,7,6,June,2021,2,2,Monday
20210608,6/8/2021,8,6,June,2021,2,3,Tuesday
20210609,6/9/2021,9,6,June,2021,2,4,Wednesday
20210610,6/10/2021,10,6,June,2021,2,5,Thursday
20210611,6/11/2021,11,6,June,2021,2,6,Friday
20210612,6/12/2021,12,6,June,2021,2,7,Saturday
20210613,6/13/2021,13,6,June,2021,2,1,Sunday
20210614,6/14/2021,14,6,June,2021,2,2,Monday
20210615,6/15/2021,15,6,June,2021,2,3,Tuesday
20210616,6/16/2021,16,6,June,2021,2,4,Wednesday
20210617,6/17/2021,17,6,June,2021,2,5,Thursday
20210618,6/18/2021,18,6,June,2021,2,6,Friday
20210619,6/19/2021,19,6,June,2021,2,7,Saturday
20210620,6/20/2021,20,6,June,2021,2,1,Sunday
20210621,6/21/2021,21,6,June,2021,2,2,Monday
20210622,6/22/2021,22,6,June,2021,2,3,Tuesday
20210623,6/23/2021,23,6,June,2021,2,4,Wednesday
20210624,6/24/2021,24,6,June,2021,2,5,Thursday
20210625,6/25/2021,25,6,June,2021,2,6,Friday
20210626,6/26/2021,26,6,June,2021,2,7,Saturday
20210627,6/27/2021,27,6,June,2021,2,1,Sunday
20210628,6/28/2021,28,6,June,2021,2,2,Monday
20210629,6/29/2021,29,6,June,2021,2,3,Tuesday
20210630,6/30/2021,30,6,June,2021,2,4,Wednesday
20210701,7/1/2021,1,7,July,2021,3,5,Thursday
20210702,7/2/2021,2,7,July,2021,3,6,Friday
20210703,7/3/2021,3,7,July,2021,3,7,Saturday
20210704,7/4/2021,4,7,July,2021,3,1,Sunday
20210705,7/5/2021,5,7,July,2021,3,2,Monday
20210706,7/6/2021,6,7,July,2021,3,3,Tuesday
20210707,7/7/2021,7,7,July,2021,3,4,Wednesday
20210708,7/8/2021,8,7,July,2021,3,5,Thursday
20210709,7/9/2021,9,7,July,2021,3,6,Friday
20210710,7/10/2021,10,7,July,2021,3,7,Saturday
20210711,7/11/2021,11,7,July,2021,3,1,Sunday
20210712,7/12/2021,12,7,July,2021,3,2,Monday
20210713,7/13/2021,13,7,July,2021,3,3,Tuesday
20210714,7/14/2021,14,7,July,2021,3,4,Wednesday
20210715,7/15/2021,15,7,July,2021,3,5,Thursday
20210716,7/16/2021,16,7,July,2021,3,6,Friday
20210717,7/17/2021,17,7,July,2021,3,7,Saturday
20210718,7/18/2021,18,7,July,2021,3,1,Sunday
20210719,7/19/2021,19,7,July,2021,3,2,Monday
20210720,7/20/2021,20,7,July,2021,3,3,Tuesday
20210721,7/21/2021,21,7,July,2021,3,4,Wednesday
20210722,7/22/2021,22,7,July,2021,3,5,Thursday
20210723,7/23/2021,23,7,July,2021,3,6,Friday
20210724,7/24/2021,24,7,July,2021,3,7,Saturday
20210725,7/25/2021,25,7,July,2021,3,1,Sunday
20210726,7/26/2021,26,7,July,2021,3,2,Monday
20210727,7/27/2021,27,7,July,2021,3,3,Tuesday
20210728,7/28/2021,28,7,July,2021,3,4,Wednesday
20210729,7/29/2021,29,7,July,2021,3,5,Thursday
20210730,7/30/2021,30,7,July,2021,3,6,Friday
20210731,7/31/2021,31,7,July,2021,3,7,Saturday
20210801,8/1/2021,1,8,August,2021,3,1,Sunday
20210802,8/2/2021,2,8,August,2021,3,2,Monday
20210803,8/3/2021,3,8,August,2021,3,3,Tuesday
20210804,8/4/2021,4,8,August,2021,3,4,Wednesday
20210805,8/5/2021,5,8,August,2021,3,5,Thursday
20210806,8/6/2021,6,8,August,2021,3,6,Friday
20210807,8/7/2021,7,8,August,2021,3,7,Saturday
20210808,8/8/2021,8,8,August,2021,3,1,Sunday
20210809,8/9/2021,9,8,August,2021,3,2,Monday
20210810,8/10/2021,10,8,August,2021,3,3,Tuesday
20210811,8/11/2021,11,8,August,2021,3,4,Wednesday
20210812,8/12/2021,12,8,August,2021,3,5,Thursday
20210813,8/13/2021,13,8,August,2021,3,6,Friday
20210814,8/14/2021,14,8,August,2021,3,7,Saturday
20210815,8/15/2021,15,8,August,2021,3,1,Sunday
20210816,8/16/2021,16,8,August,2021,3,2,Monday
20210817,8/17/2021,17,8,August,2021,3,3,Tuesday
20210818,8/18/2021,18,8,August,2021,3,4,Wednesday
20210819,8/19/2021,19,8,August,2021,3,5,Thursday
20210820,8/20/2021,20,8,August,2021,3,6,Friday
20210821,8/21/2021,21,8,August,2021,3,7,Saturday
20210822,8/22/2021,22,8,August,2021,3,1,Sunday
20210823,8/23/2021,23,8,August,2021,3,2,Monday
20210824,8/24/2021,24,8,August,2021,3,3,Tuesday
20210825,8/25/2021,25,8,August,2021,3,4,Wednesday
20210826,8/26/2021,26,8,August,2021,3,5,Thursday
20210827,8/27/2021,27,8,August,2021,3,6,Friday
20210828,8/28/2021,28,8,August,2021,3,7,Saturday
20210829,8/29/2021,29,8,August,2021,3,1,Sunday
20210830,8/30/2021,30,8,August,2021,3,2,Monday
20210831,8/31/2021,31,8,August,2021,3,3,Tuesday
20210901,9/1/2021,1,9,September,2021,3,4,Wednesday
20210902,9/2/2021,2,9,September,2021,3,5,Thursday
20210903,9/3/2021,3,9,September,2021,3,6,Friday
20210904,9/4/2021,4,9,September,2021,3,7,Saturday
20210905,9/5/2021,5,9,September,2021,3,1,Sunday
20210906,9/6/2021,6,9,September,2021,3,2,Monday
20210907,9/7/2021,7,9,September,2021,3,3,Tuesday
20210908,9/8/2021,8,9,September,2021,3,4,Wednesday
20210909,9/9/2021,9,9,September,2021,3,5,Thursday
20210910,9/10/2021,10,9,September,2021,3,6,Friday
20210911,9/11/2021,11,9,September,2021,3,7,Saturday
20210912,9/12/2021,12,9,September,2021,3,1,Sunday
20210913,9/13/2021,13,9,September,2021,3,2,Monday
20210914,9/14/2021,14,9,September,2021,3,3,Tuesday
20210915,9/15/2021,15,9,September,2021,3,4,Wednesday
20210916,9/16/2021,16,9,September,2021,3,5,Thursday
20210917,9/17/2021,17,9,September,2021,3,6,Friday
20210918,9/18/2021,18,9,September,2021,3,7,Saturday
20210919,9/19/2021,19,9,September,2021,3,1,Sunday
20210920,9/20/2021,20,9,September,2021,3,2,Monday
20210921,9/21/2021,21,9,September,2021,3,3,Tuesday
20210922,9/22/2021,22,9,September,2021,3,4,Wednesday
20210923,9/23/2021,23,9,September,2021,3,5,Thursday
20210924,9/24/2021,24,9,September,2021,3,6,Friday
20210925,9/25/2021,25,9,September,2021,3,7,Saturday
20210926,9/26/2021,26,9,September,2021,3,1,Sunday
20210927,9/27/2021,27,9,September,2021,3,2,Monday
20210928,9/28/2021,28,9,September,2021,3,3,Tuesday
20210929,9/29/2021,29,9,September,2021,3,4,Wednesday
20210930,9/30/2021,30,9,September,2021,3,5,Thursday
20211001,10/1/2021,1,10,October,2021,4,6,Friday
20211002,10/2/2021,2,10,October,2021,4,7,Saturday
20211003,10/3/2021,3,10,October,2021,4,1,Sunday
20211004,10/4/2021,4,10,October,2021,4,2,Monday
20211005,10/5/2021,5,10,October,2021,4,3,Tuesday
20211006,10/6/2021,6,10,October,2021,4,4,Wednesday
20211007,10/7/2021,7,10,October,2021,4,5,Thursday
20211008,10/8/2021,8,10,October,2021,4,6,Friday
20211009,10/9/2021,9,10,October,2021,4,7,Saturday
20211010,10/10/2021,10,10,October,2021,4,1,Sunday
20211011,10/11/2021,11,10,October,2021,4,2,Monday
20211012,10/12/2021,12,10,October,2021,4,3,Tuesday
20211013,10/13/2021,13,10,October,2021,4,4,Wednesday
20211014,10/14/2021,14,10,October,2021,4,5,Thursday
20211015,10/15/2021,15,10,October,2021,4,6,Friday
20211016,10/16/2021,16,10,October,2021,4,7,Saturday
20211017,10/17/2021,17,10,October,2021,4,1,Sunday
20211018,10/18/2021,18,10,October,2021,4,2,Monday
20211019,10/19/2021,19,10,October,2021,4,3,Tuesday
20211020,10/20/2021,20,10,October,2021,4,4,Wednesday
20211021,10/21/2021,21,10,October,2021,4,5,Thursday
20211022,10/22/2021,22,10,October,2021,4,6,Friday
20211023,10/23/2021,23,10,October,2021,4,7,Saturday
20211024,10/24/2021,24,10,October,2021,4,1,Sunday
20211025,10/25/2021,25,10,October,2021,4,2,Monday
20211026,10/26/2021,26,10,October,2021,4,3,Tuesday
20211027,10/27/2021,27,10,October,2021,4,4,Wednesday
20211028,10/28/2021,28,10,October,2021,4,5,Thursday
20211029,10/29/2021,29,10,October,2021,4,6,Friday
20211030,10/30/2021,30,10,October,2021,4,7,Saturday
20211031,10/31/2021,31,10,October,2021,4,1,Sunday
20211101,11/1/2021,1,11,November,2021,4,2,Monday
20211102,11/2/2021,2,11,November,2021,4,3,Tuesday
20211103,11/3/2021,3,11,November,2021,4,4,Wednesday
20211104,11/4/2021,4,11,November,2021,4,5,Thursday
20211105,11/5/2021,5,11,November,2021,4,6,Friday
20211106,11/6/2021,6,11,November,2021,4,7,Saturday
20211107,11/7/2021,7,11,November,2021,4,1,Sunday
20211108,11/8/2021,8,11,November,2021,4,2,Monday
20211109,11/9/2021,9,11,November,2021,4,3,Tuesday
20211110,11/10/2021,10,11,November,2021,4,4,Wednesday
20211111,11/11/2021,11,11,November,2021,4,5,Thursday
20211112,11/12/2021,12,11,November,2021,4,6,Friday
20211113,11/13/2021,13,11,November,2021,4,7,Saturday
20211114,11/14/2021,14,11,November,2021,4,1,Sunday
20211115,11/15/2021,15,11,November,2021,4,2,Monday
20211116,11/16/2021,16,11,November,2021,4,3,Tuesday
20211117,11/17/2021,17,11,November,2021,4,4,Wednesday
20211118,11/18/2021,18,11,November,2021,4,5,Thursday
20211119,11/19/2021,19,11,November,2021,4,6,Friday
20211120,11/20/2021,20,11,November,2021,4,7,Saturday
20211121,11/21/2021,21,11,November,2021,4,1,Sunday
20211122,11/22/2021,22,11,November,2021,4,2,Monday
20211123,11/23/2021,23,11,November,2021,4,3,Tuesday
20211124,11/24/2021,24,11,November,2021,4,4,Wednesday
20211125,11/25/2021,25,11,November,2021,4,5,Thursday
20211126,11/26/2021,26,11,November,2021,4,6,Friday
20211127,11/27/2021,27,11,November,2021,4,7,Saturday
20211128,11/28/2021,28,11,November,2021,4,1,Sunday
20211129,11/29/2021,29,11,November,2021,4,2,Monday
20211130,11/30/2021,30,11,November,2021,4,3,Tuesday
20211201,12/1/2021,1,12,December,2021,4,4,Wednesday
20211202,12/2/2021,2,12,December,2021,4,5,Thursday
20211203,12/3/2021,3,12,December,2021,4,6,Friday
20211204,12/4/2021,4,12,December,2021,4,7,Saturday
20211205,12/5/2021,5,12,December,2021,4,1,Sunday
20211206,12/6/2021,6,12,December,2021,4,2,Monday
20211207,12/7/2021,7,12,December,2021,4,3,Tuesday
20211208,12/8/2021,8,12,December,2021,4,4,Wednesday
20211209,12/9/2021,9,12,December,2021,4,5,Thursday
20211210,12/10/2021,10,12,December,2021,4,6,Friday
20211211,12/11/2021,11,12,December,2021,4,7,Saturday
20211212,12/12/2021,12,12,December,2021,4,1,Sunday
20211213,12/13/2021,13,12,December,2021,4,2,Monday
20211214,12/14/2021,14,12,December,2021,4,3,Tuesday
20211215,12/15/2021,15,12,December,2021,4,4,Wednesday
20211216,12/16/2021,16,12,December,2021,4,5,Thursday
20211217,12/17/2021,17,12,December,2021,4,6,Friday
20211218,12/18/2021,18,12,December,2021,4,7,Saturday
20211219,12/19/2021,19,12,December,2021,4,1,Sunday
20211220,12/20/2021,20,12,December,2021,4,2,Monday
20211221,12/21/2021,21,12,December,2021,4,3,Tuesday
20211222,12/22/2021,22,12,December,2021,4,4,Wednesday
20211223,12/23/2021,23,12,December,2021,4,5,Thursday
20211224,12/24/2021,24,12,December,2021,4,6,Friday
20211225,12/25/2021,25,12,December,2021,4,7,Saturday
20211226,12/26/2021,26,12,December,2021,4,1,Sunday
20211227,12/27/2021,27,12,December,2021,4,2,Monday
20211228,12/28/2021,28,12,December,2021,4,3,Tuesday
20211229,12/29/2021,29,12,December,2021,4,4,Wednesday
20211230,12/30/2021,30,12,December,2021,4,5,Thursday
20211231,12/31/2021,31,12,December,2021,4,6,Friday
